ST,ORI,GRP,DIV,YEAR,MSA,CD1,CD2,CD3,ADJD,OFF,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M24,F3,F4,F5,F6,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F24,AW,AB,AI,AO1,AH,AN
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",080,0,0,0,0,1,1,0,0,0,0,0,0,2,0,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,12,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",100,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",130,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",150,1,0,3,1,2,1,2,3,2,2,1,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,25,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",190,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",210,0,0,0,1,2,0,3,0,2,0,1,6,17,18,7,9,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,74,9,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",220,0,2,0,3,6,0,1,2,1,2,1,2,1,3,5,2,7,0,0,0,0,0,0,0,0,1,0,0,0,2,1,4,1,1,0,0,24,24,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",230,0,0,0,1,3,3,0,6,2,2,8,32,29,21,33,21,30,0,0,0,0,0,1,1,0,0,0,1,0,3,2,2,11,2,3,0,105,112,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",240,0,0,6,0,5,4,3,4,0,0,0,3,6,7,2,1,3,0,0,0,1,1,0,1,2,0,0,1,0,1,1,1,5,2,0,0,14,46,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",260,0,1,6,4,8,2,1,2,1,3,4,1,1,3,5,0,3,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,34,17,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",270,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",011,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",012,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
